Номер;Рецепт
73; решила я подготовиться к приходу лета  отдав предпочтение диете пьера дюкана  система  надо признаться эффективная  но сложная и дорогая  сложная тем  что постоянно нужно готовить  мало какие блюда  допустимые на диете  захотят кушать муж и ребеночек  поэтому приходится готовить себе отдельно  а на это постоянно не хватает времени  а дорогая  потому что допустимо кушать главным образом мясо и рыбу    в итоге строго следовать системе я перестала  но многие рецепты сохраню на всю жизнь  этот льняной коктейль как раз один из них  в оригинале напиток носит название убийца голода    на фото представлены продукты  необходимые для приготовления чудо напитка  кефир  лен  сахар или сахарозаменитель     семена льна измельчаем в кофемолке в муку     пересыпаем в стакан для коктейля     добавляем сахар  если использовать сахарозаменитель  аспартам   то его удобнее измельчить в кофемолке вместе с семенами льна     наливаем кефир     перемешиваем  мне нравится использовать погружной блендер  даем настояться  минут для загустения  набухания семян льна     разливаем по стаканам     утоляем голод    
74; предлагаю вам приготовить замечательный охлаждающий индийский напиток на основе йогурта   ласси  вариаций ласси   великое множество  но основа всегда одна   йогурт  вода и лёд  в принципе  это и есть рецепт ласси  но за счёт различных добавок ласси получается солёным  сладким  остреньким или просто ароматным  попробуйте этот напиток  и он навсегда останется в рационе вашей семьи    я сегодня покажу два рецепта ласси   с шоколадом и с имбирём  калории указаны для двух напитков  так что судите сами  какой это полезный и диетический напиток  вы можете варьировать специи и добавки по своему вкусу  можно добавлять огурцы  зелень  паприку  сироп  ягоды и любые другие ингредиенты  пробуйте и наслаждайтесь    итак  для первого рецепта ласси возьмём натуральный йогурт  воду  тёмный шоколад и лепестки миндаля     шоколад натрём на мелкой тёрке  если у вас молочный шоколад   подморозьте его в морозильнике      заранее приготовим лёд     в воду добавим лёд и йогурт     сверху добавим натёртый шоколад     взобьём наши ингредиенты погружным блендером     ласси с шоколадом готов  украсим сверху миндальными лепестками и шоколадом и подадим немедленно  великолепный ледяной шоколадный ласси   охлаждающий и нежный напиток  угощайтесь        теперь приготовим ласси с имбирём и кардамоном  нам потребуется  мл йогурта   мл воды  лёд    ч л  сахара и  ч л  кардамона     кардамон вы можете смолоть сами в кофемолке или взять готовый порошок  я смолола несколько стручков  просеяла  получилось не так тонко  как в готовом порошке  я добавила по половинке чайной ложки того и другого     имбирь натрём на мелкой тёрке     смешаем  мл йогурта   мл воды  лёд  имбирь и кардамон  взобьём всё блендером     ласси с имбирём и кардамоном готов  подавайте немедленно этот чудесный ароматный напиток  индийцы знают толк в охлаждающих напитках  попробуйте и вы  в жаркое время года или в пост   это просто спасение и наслаждение  ласси   полезный и вкусный напиток  угощайтесь на здоровье      
75; чай с имбирем и корицей   необычайно ароматный напиток  не знаю  как вам  а мне его аромат напоминает восточный колорит  видимо  из за присутствия в нем корицы  заваривать вы можете как зеленый  так и черный чай  хотя  признаюсь  мне кажется  что последний вариант лучше сочетается с выбранными ингредиентами  напиток получается сладковато пьянящим  невероятно ароматным и вкусным   к нему можно даже не подавать сладкую выпечку  сахар или мёд вы также вольны добавлять по своему желанию  так же  как и мяту  ломтики лимона  если у вас есть корица в палочках   добавляйте ее  свежезаваренному чаю обязательно дайте настояться около   минут  чтобы в нем раскрылись все букеты вкусов    итак  подготовим необходимые ингредиенты и начнем заваривать имбирный чай с корицей     в заварный чайник всыплем необходимое количество заварки     добавим молотую корицу и палочку корицы     обязательно всыплем немного сахарного песка  буквально  ч л    он своей сладостью раскроет букет вкуса корицы     очистим корень имбиря  промоем и нарежем небольшими пластинками или слайсами прямо в заварник  вскипятим воду в чайнике на плите     зальем кипяток в заварный чайник  слегка перемешаем его содержимое  чтобы напиток заварился     разольем чай с имбирём и корицей в чашки и подадим к столу  по желанию добавим в чай ломтик лимона  пару листочков свежей или сушеной мяты  сахарный песок  мёд  добавляя мёд  помните о том  что температура напитка должна быть не более с     приятного вам   
76; сегодня приготовим какао с маршмеллоу   сладкий и вкусный согревающий напиток  который любят и взрослые  и дети  раскроем несколько тонкостей и секретов приготовления напитка  которые позволяют сделать обычный какао поистине восхитительным на вкус   плотным  тягучим  густым и насыщенно шоколадным по вкусу  не оседающим на дно чашки  без неаппетитной молочной пенки на поверхности  эти незначительные на первый взгляд нюансы приготовления существенно влияют на вкус готового напитка  превращая какао в настоящее лакомство  давайте побалуем себя и своих любимых   приготовим чашечку восхитительного какао и укутаем каждую порцию напитка в аппетитное  воздушное облако тающего маршмеллоу  начнем      для приготовления вам понадобятся компоненты  указанные в списке     в чашке или небольшой миске смешайте какао  сахар  щепотку соли и молотую корицу  щепотка соли  добавленная в смесь  усилит шоколадный вкус какао  а корица сделает аромат напитка чуть более ярким     влейте   мл кипятка и тщательно все перемешайте до растворения какао и сахара  и получения глянцевой однородной смеси  этот этап позволит заранее полностью растворить какао и избежать появления неаппетитных комочков в готовом напитке     на среднем огне подогрейте пастеризованное молоко  не позволяя ему закипеть  примерно до   градусов   не позволяя молоку кипеть  мы предупреждаем появление молочной пенки на его поверхности  перед добавлением молока ополосните кастрюлю или сотейник холодной водой  так молоко не будет пригорать      как только молоко начнет закипать  уменьшите огонь  и постоянно помешивая молоко венчиком  тонкой струйкой влейте смесь какао и сахара    на среднем огне снова доведите смесь почти до кипения  а затем  уменьшив огонь до минимума  варите еще   минуты  периодически помешивая  не позволяя напитку кипеть     затем выключите огонь и взбейте смесь венчиком   минуты  этот этап позволит создать на поверхности какао слой пузырьков воздуха  который также предотвратит появление молочной пленки      разлейте горячий напиток по чашкам     добавьте в каждую чашку напитка горсть маршмеллоу  или жевательного зефира  нарезанного небольшими кусочками   подождите несколько секунд  для того чтобы маршмеллоу начали таять от тепла  исходящего от горячего какао  а затем подавайте напиток к столу     какао с маршмеллоу готово    
77; арбузный лимонад  простой в приготовлении  красочный и вкусный освежающий напиток из четырех базовых ингредиентов  приготовленный на основе арбузной мякоти  с добавлением небольшого количества мяты  сахара  цедры и сока лимона  напиток обладает очень аппетитным  пряным вкусом с кисло сладкими нотками  получается ярким на вид и отлично освежает    с минимальными изменениями в составе арбузный лимонад может подаваться как в качестве повседневного сезонного напитка  так и игристого безалкогольного и или алкогольного коктейля  для этого достаточно просто добавить к ароматной основе лимонада вместо обычной питьевой воды   газированную  а для алкогольной версии   белый ром  попробуйте    для приготовления арбузного лимонада понадобятся такие ингредиенты     приготовьте ароматный сахарный сироп  соедините  граммов сахара  цедру  лимона    веточки мяты и  мл воды  доведите смесь до кипения     когда вода закипит  уменьшите огонь до минимального и варите смесь   минуты  затем выключите огонь  прикройте емкость крышкой и оставьте при комнатной температуре до охлаждения     процедите охлажденный сироп  удалив лимонную цедру и мяту     очистите мякоть арбуза от косточек  поместите в чашу блендера и взбейте   секунд  до однородного состояния  вам понадобится   мл получившегося арбузного сока  для приготовления которого обычно необходимо    кг арбузной мякоти     добавьте к арбузному соку  подготовленный ароматный сироп и сок лимона  взбейте все еще   секунд     разбавьте смесь по своему вкусу  добавив питьевую воду  примерно   мл      добавьте в каждый бокал   кубика льда  разлейте напиток по бокалам  по желанию украсьте бокалы ломтиками лимона или листьями мяты  дополните соломинками и подавайте к столу     арбузный лимонад готов     
78; компот из сухофруктов очень полезен особенно в зимнее время  когда нашему организму так не хватает витаминов и различных микроэлементов  таких как  калий  магний и кальций  сегодня я хочу приготовить такой полезный и очень вкусный напиток вместе с вами    яблоки вымыть  извлечь сердцевину и нарезать дольками      чернослив вымыть     изюм и курагу вымыть и перебрать     поставить на огонь большую кастрюлю с водой и довести до кипения  когда вода закипела положить в нее яблоко и чернослив   варить около  ти минут  затем положить изюм  курагу и сахар  варить еще  минут  готовый компот накрыть крышкой  дать настояться и остыть     компот из сухофруктов   это очень вкусный  полезный и натуральный напиток  который непременно пойдет на пользу вам и вашим детям     приятного аппетита  
79; возьмите на заметку и опробуйте оригинальный на вкус и очень полезный рецепт чая с лимоном  имбирем и розмарином  лимон можно заменить на лайм   розмарин использовать  желательно  свежий  но в принципе сгодится и сухой  такой чай хорош и в горячем  и в холодном виде    подготовьте заварку по вкусу  лимон или лайм  а также корень имбиря     поместите в заварочник порцию листового чая  дольку лимона или лайма  веточку розмарина и тонкие ломтики или кусочки корня имбиря     залейте горячей водой и дайте настояться  завариться     подавайте чай вгорячем виде     или в холодном    приятного чаепития  
80; полезный и сбалансированный протеиновый коктейль для спортивного питания должен состоять из белков  натуральной клетчатки  углеводов  витаминов и микроэлементов  он должен быть не только сытным  но и питательным  такой продукт можно приготовить дома самим    пить протеиновый коктейль нужно за час до занятий спортом  а количество на одно употребление рекомендуется не более  мл на сайте можно посмотреть и другие составы полезных протеиновых коктейлей    подготовьте ингредиенты     соедините отруби с семенами или орехами  тут семена льна       добавьте сгущенное молоко или мороженое хорошего качества     измельчите массу при помощи блендера     добавьте кусочки фруктов  например  банан и ещё раз пробейте в блендере      влейте молоко  взбейте массу и домашний протеиновый коктейль готов      приятного аппетита   
81; домашний лимонад намного полезнее  чем покупной  всё таки в нём нет красителей и консервантов  да и приготовить этот напиток довольно просто  лимонад можно приготовить из свежих сезонных ягод или использовать заморозку  я решила приготовить клубничный лимонад  он получился не только вкусным и ароматным  но ещё и очень красивым и ярким    для приготовления домашнего лимонада я взяла замороженную клубнику и предварительно её разморозила  сок от ягод не сливала  он прекрасно дополнил мой клубничный лимонад  газированную воду можно взять любую    лимон намыть и ошпарить кипятком  в кастрюльку влить фильтрованную воду  всыпать сахар и поставить на огонь  прокипятить сахарную смесь в течение  минут  затем снять с огня и полностью остудить     в чашу блендера поместить клубнику вместе с выделившимся соком  если используете свежие ягоды  то намыть их и обсушить  выдавить сок из одного лимона и добавить к клубнике  взбить клубнику с лимонным соком до образования однородного пюре     в кастрюлю влить сахарный сироп  ягодное пюре и газированную воду  всё хорошо перемешать  перед подачей на стол в графин добавить кусочки льда и влить наш лимонад     подать клубничный лимонад  для детей я разливаю лимонад по маленьким бутылочкам и вставляю коктейльные трубочки     приятного аппетита  
82; предлагаю порадовать хозяйку наступающего года и приготовить для праздничного стола лёгкий фруктовый смузи обезьянья радость  этот смузи не только лёгкий  но ещё и очень полезный десерт  а то  что он очень вкусный  сомнений не вызывает  приготовить этот десерт будет достаточно просто  если за пару часов до подачи почистить киви  а бананы очищаются в одно мгновение    подготовить для смузи фрукты  бананы  киви и хурму  также нам понадобится мёд     очищенные бананы поломать на кусочки  сложить в блендер  добавить одну ложку мёда     взбить бананы в однородное пюре и выложить в креманки     у хурмы удалить плодоножку и косточки если есть  у меня хурма оказалась без косточек  разрезать хурму на  части  поместить в блендер и добавить ложку мёда     взбить хурму до состояния пюре  аккуратно выложить слой хурмы поверх бананового слоя     почистить и разрезать киви  сложить в блендер  добавить мёд и измельчить     выложить слой киви поверх хурмы     украсить фруктовый смузи обезьянья радость можно по своему вкусу  например нарезать тонко киви и выложить из них верх  посыпать гранатовыми зёрнами  придавая нашему десерту праздничный вид  подать вкусный и полезный смузи на праздничный стол           приятного аппетита  
83; кофе по турецки  и напиток  и способ его приготовления  а также  пожалуй  один из самых знаковых и почитаемых вариантов приготовления кофе  медная турочка  молотые кофейные зёрна и немного воды  эти три составляющие  как и способ его приготовления  неизменны на протяжении столетий    сегодня тысячи сортов кофейных зёрен  сотни приправ и добавок и десятки современных устройств позволяют нам готовить кофе одним лишь нажатием кнопки  но для настоящих ценителей кофе это лишь красочная мишура  и отбросив её  мы встаём с постели пораньше  чтобы не торопясь  по старинке сварить чашечку ароматного кофе по турецки и без суеты насладиться его изысканным ароматом и вкусом    на родине напитка говорят  что чашка хорошего кофе способна остановить время  и действительно  приготовление кофе по турецки   завораживающий процесс  вдыхать соблазнительный аромат  наблюдать  как на поверхности напитка медленно собирается кофейная пенка и переливаются пузырьки воздуха   процесс сродни медитации  наслаждаясь горьковатым и терпким вкусом свежесваренного кофе  хочется прочувствовать каждый глоток    итак  давайте сварим кофе по турецки в турке    подготовьте ингредиенты по списку  их немного  но от их качества многое зависит    кофе  предпочтительно арабика самого тонкого помола  который сможете найти    вода  холодная и мягкая  дистиллированная или очищенная  в крайнем случае для смягчения обычной воды добавляют щепотку соли    пряности и сахар  необязательные компоненты  добавляются  чтобы усилить аромат и смягчить вкус напитка  наиболее популярные  кардамон  корица  гвоздика     кофейные зёрна измельчите или используйте готовый молотый кофе  для получения наилучшего результата помол кофе должен быть очень тонким  если есть выбор  отдайте предпочтение ручной  а не механической кофемолке     в турочку отмерьте желаемое количество воды  добавьте кофе  классический кофе по турецки   довольно крепкий напиток  на  ч л  с горкой молотого кофе добавляется всего  мл воды  но в домашних условиях пропорции можно немного варьировать  подстраивая их под свой вкус    старайтесь также подбирать пропорции воды и кофе так  чтобы максимальный уровень воды был по горлышко турочки  не выше  оставшееся свободное пространство нужно для роста кофейной пенки     если предпочитаете кофе с сахаром  добавьте и его    добавляя любые компоненты  будь то сахар  вода или специи  кофе добавляйте всегда в самую последнюю очередь и не перемешивайте напиток  добавлять сахар уже в готовый напиток также не принято  поскольку помешивание сахара в чашке уничтожит кофейную пенку на поверхности напитка     теперь перейдём к самому трепетному моменту  приготовлению напитка  считается  что самый вкусный кофе по турецки получается  если варить кофе на песке  в домашних условиях это можно реализовать так  взять старую чугунную сковороду  выложить на дно слой мелкой гальки или камешков  и заполнить её песком  камушки придадут песку плотность  а сам песок и толстые стенки сковороды обеспечат плавный и равномерный прогрев напитка     включите сильный огонь  и когда песок раскалится  установите в центр турочку с кофе    альтернативный вариант  готовьте кофе на самой маленькой конфорке и минимальном огне     медленно  но постепенно кофе начнёт закипать  конкретные сроки назвать сложно  но у меня процесс обычно занимает  минут  в процессе нагрева на поверхности напитка образуется плотная кофейная пенка  эту пену нельзя перемешивать  она  словно крышка  запечатывает и удерживает внутри все ароматы и вкусы     кофейные чашки обдайте кипятком     когда вода начнёт закипать  по краям пенки образуются пузырьки  и вода начнёт подниматься вверх  важно не упустить этот момент и не дать кофе закипеть  а пенке   сбежать  снимите турочку  остановив нагрев  пенка тут же осядет  по желанию  соберите часть или всю пенку ложкой и распределите её по чашкам     снова верните ёмкость с кофе на горячий песок или конфорку и варите кофе ещё  секунд  за это время ещё  раза доведите кофе почти до кипения  каждый раз  когда кофе начнёт закипать  останавливайте нагрев  приподнимая турочку  а затем снова его возобновляйте  возвращая её на песок    готовый кофе разлейте по чашкам  подождите   секунд  чтобы гуща осела  и наслаждайтесь     кофе по турецки готов  отбросьте все дела на несколько минут и насладитесь его незабываемым ароматом и вкусом  
84; ароматный и пряный рождественский пунш   незаменимый напиток для новогодних и рождественских праздников  торжеств и вечеринок  готовится быстро  нравится всем  хорош как в горячем  так и охлажденном виде    сегодня хочу поделиться с вами рецептом приготовления ароматного и вкусного рождественского безалкогольного пунша с яблоками  готовить напиток будем по традиционному английскому рецепту  с добавлением запеченных яблок  цитрусовых  специй и пряностей  начнем      подготовьте ингредиенты для безалкогольного пунша по списку     с помощью чайной ложки сделайте в яблоках небольшие углубления  по желанию можно полностью удалить семенную коробочку  но сохраняйте целостность яблок  сделайте горизонтальный надрез по периметру яблок  слегка прорезав кожуру  поместите подготовленные яблоки в форму для запекания  добавьте в каждое яблоко по  ч л  коричневого или обычного сахара и влейте в форму  ст л  воды    поместите яблоки в разогретую до  градусов духовку и выкайте   минут  до мягкости     тем временем заварите крепкий черный чай  пропорции напитка можно подбирать по вкусу  у меня    ч л  чайных листьев на  мл воды  по желанию  на основе этого рецепта также можно приготовить алкогольную версию напитка  добавив вместо чая крепкий алкоголь за  минуты до готовности пунша  англичане обычно используют виски  портвейн или ром      воткните в кожуру апельсина гвоздику  разрежьте апельсин и лимон пополам    поместите апельсин и лимон в кастрюлю  добавьте сок  выделившийся в процессе запекания яблок  процедите и добавьте черный чай     добавьте клюквенный  яблочный и апельсиновый соки  а также специи  мускатный орех  имбирь  корицу и сахар по вкусу    на среднем огне доведите пунш до кипения  затем уменьшите огонь до минимального и варите пунш еще  минут  чтобы смешались все ароматы и вкусы     выключите огонь и добавьте печеные яблоки  прикройте кастрюлю крышкой и позвольте напитку настояться еще несколько минут  затем процедите и подавайте напиток к столу     рождественский безалкогольный пунш готов  веселых праздников   
85; изумительный напиток из кефира с сочной сладкой клубникой придется по душе и старому  и малому  очень вкусно  очень полезно  очень диетично  очень свежо    благодатная пора лето  нарвал горсть клубники  добавил стаканчик кефира или йогурта  перемешал  вот тебе и наслаждение  да приготовить самостоятельно сможет и ребенок    продукты для приготовления смузи из кефира с клубникой     клубнику промыть  слегка обсушить на бумажном полотенце  удалить чашелистики     очищенную ягоду сложить в стакан блендера     добавить мёд по своему вкусу    чайных ложки     налить кефир     взбить блендером     разлить напиток по стаканам     добавить листочек мяты и вуаля     наслаждайтесь вкусным  полезным напитком из кефира с клубникой     приятного   
86; хурма   полезная и вкусная  ее солнечный цвет радует глаз  а сочная мякоть может быть основой многих десертных блюд и напитков    в октябре ноябре на рынках появляется самая вкусная хурма  но уже нет клубники  как быть    использовать запасы из морозилки  клубника добавит напитку свой неповторимый аромат и красивый цвет  банан даст смузи кремовую текстуру  а свежевыжатый сок апельсина разбавит сладость и добавит витамин с    готовится смузи с хурмой и клубникой за считанные минуты  клубнику размораживать не нужно  но если ягоды слишком крупные  их нужно разрезать ножом пополам  банан понадобится спелый    очень спелый  с пятнышками на кожуре  хурму тоже лучше использовать спелую  у которой кожица готова вот вот лопнуть     снимем с хурмы тонкую кожицу и удалим косточки  из апельсина выжмем сок     в чашу блендера положим клубнику  банан очистим  нарежем произвольно и тоже отправим в блендер     к банану и клубнике добавим мякоть хурмы и вольем апельсиновый сок     на высокой скорости блендера превратим фрукты в однородный смузи  если напиток окажется слишком густым или слишком сладким  добавим еще апельсинового сока или минеральной воды  а затем еще раз взобьем смузи в течение нескольких секунд    разольем смузи с хурмой и клубникой по порционным баночкам  украсив листочком мяты  его можно подать сразу  а можно дополнительно охладить     приятного аппетита     
87; смузи все больше и больше набирают популярность  сегодня будем готовить творожный   полезный  такой смузи чем то напоминает шоколадный молочный коктейль    я не добавляла в смузи ни сахар  ни мед  мне хватило сладости банана  вы же можете подсластить  если вам будет недостаточно сладко    в ингредиентах указан банан в количестве  шт   а на фото вы видите  шт   потому что у меня бананы очень маленькие  размером со средний палец    для приготовления творожного смузи с бананом и какао подготовим продукты по списку     в чашу блендера выкладываем творог  какао и молоко  пробиваем     затем добавим нарезанные бананы  и вновь пробиваем    если будет густо  будет зависеть от творога   добавьте молоко     творожный смузи с бананом и какао готов     разливаем его по стаканам  бокалам  баночкам  дадим ему остыть в холодильнике    подаем охлажденным    приятного вам     
88; что может быть лучше чашки ароматного кофе ранним утром   только чашка вкуснейшего капучино  ну  а что главное в капучино   конечно же  шапочка пышной  невесомой и невероятно нежной на вкус молочной пенки    сегодня предлагаю научиться взбивать молоко и готовить вкуснейший капучино в домашних условиях без кофемашины  приготовим молочную пенку для капучино  используя подручную посуду и один из трех вариантов кухонной техники  блендер  миксер или микроволновую печь  итак  приступаем    подготовьте ингредиенты     приготовьте крепкий кофе по своему вкусу     подогрейте и вспеньте молоко  чтобы получить густую молочную пену без использования кофемашины или капучинатора  используем один из трех предметов  которые найдутся на любой кухне  блендер  миксер  микроволновка и любая емкость   банка  бутылка с герметично закрывающейся крышкой    три нюанса  которые относятся к любому способу взбивания молока   используйте молоко жирностью не менее     и дело тут не только в цифрах  указанных на упаковке  и в пресловутом чем жирнее  тем вкуснее  а в том  что в таком молоке  как правило  больше белка  чем больше белка  тем более правильной   маслянистой  нежной и вкусной   получается молочная пенка  мало шансов на успех и с восстановленным молоком  т е  молочным напитком  приготовленным из сухого молока  которые некоторые производители также называют молоко  восстановленное молоко  может  и слегка взобьется  но той самой  правильной пенки  состоящей из миллиона пузырьков  у него не будет  не нагревайте молоко выше   градусов  поскольку только так у вас получится самая вкусная молочная пенка  выше этой температуры молоко теряет характерный сладковатый вкус  который является изюминкой капучино  да и взбивается хуже      начнем со вспенивания молока при помощи блендера  отмерьте в кастрюлю молоко и на среднем огне подогрейте его до температуры   градусов  если кулинарного термометра нет  можно ориентироваться на собственные тактильные ощущения  окуните кончик пальца в молоко на несколько секунд и прислушайтесь к своим ощущениям  если молоко достаточно горячее и кожу слегка покалывает  температура молока около  градусов     выключите огонь и взбейте молоко   минуты  пока оно слегка не загустеет и на его поверхности не появится слой пены толщиной не менее  см  при правильной температуре приготовления качественное молоко способно увеличиться в объеме в два раза    такой способ вспенивания молока позволяет получить очень устойчивую и пышную пену  которая долго не оседает     перейдем к миксеру  отмерьте молоко в кастрюлю и установите низкую мощность нагрева  погрузите венчики миксера в молоко и на низкой скорости взбивайте его   минуты  до получения молочной пенки толщиной не менее  см    в этом способе нагрев и взбивание молока происходят одновременно  молоко легко и довольно быстро взбивается  но его пена часто содержит крупные пузыри и чуть быстрее оседает     третий способ пригодится обладателям микроволновой печи  влейте молоко в обычную банку или бутылку  заполняя не более чем на    герметично закройте емкость и взбалтывайте  трясите молоко   минуты  до получения пышной пены  холодное молоко взбивается даже лучше  чем теплое  поэтому особых трудностей у вас не возникнет    затем просто прогрейте молоко в микроволновой печи   секунд  пока молоко не станет теплым     молоко и кофе готовы и можно приступать к приготовлению капучино  заполните чашку примерно на   кофе     еще на   заполните чашку молоком  прежде чем добавлять молоко в кофе  аккуратно покачайте емкость с молоком по часовой стрелке и нежно   раза постучите об стол  так в молочной пене осядут крупные пузыри    затем влейте или выложите молочную пену  заполнив чашку доверху     капучино готово   
