Номер;Рецепт
124;для приготовления напитка возьмём облепиху  чёрный чай без добавок и мёд по вкусу  ягоды облепихи хорошо помыть    части подавить мадлером или размять с ложкой в пюре  в чайник всыпать облепиховое пюре  оставшиеся ягоды и чёрный чай  залить всё кипятком  закутать и дать настояться   минут  готовый чай разливать через ситечко  добавив мёд по вкусу   
125;для работы нам понадобится сахар  ванильный сахар  вода  спелые груши  картофельный крахмал   грамм груш очистить от кожуры  удалить семенную коробку  мякоть нарезать ломтиками  соединить в кастрюле с водой   мл   довести до кипения и проварить  минут  или до мягкости груш   измельчить содержимое кастрюли блендером  добавить  грамм сахара   грамм ванильного сахара  довести до кипения и проварить   минуты   мл воды соединить с картофельным крахмалом   ст  л   и перемешать  ввести крахмальную смесь в грушевую  не прекращая помешивания   довести на среднем огне до кипения и проварить  секунд  кисель из груш готов  подавать такой кисель можно как в горячем  так и в холодном виде  
126;для приготовления безалкогольного яблочного сидра возьмём яблоки  мёд  корицу  гвоздику  апельсин  из яблок выжимаем сок и замеряем его количество  выливаем сок в кастрюлю  добавляем мёд  корицу и гвоздику  доводим до кипения  убавляем огонь и варим ещё  минут  процеживаем жидкость от гвоздики и корицы  для подачи тёплый яблочный сидр разливаем в стаканы  апельсин нарезаем дольками и добавляем туда же  так же можно добавить дольки яблока и бадьян  вкусной и тёплой осени вам  
127;подготовим ингредиенты  молодую морковь  стебли сельдерея с листиками  большое яблоко и свежевыжатый апельсиновый сок  все овощи лучше всего употреблять холодными  очищаем от кожуры морковь  нарезаем на кубики яблоки  без серцевинки   морковь и сельдерей  отправляем всё в чашу блендера и вливаем апельсиновый сок   перемалываем содержимое в однородную густую массу  разливаем по стаканам и приятного оздоровления  
128;для приготовления компота взять голубику  сахар и воду  ягоду промыть  залить ягоду холодной водой  довести до кипения и варить минут    добавить сахар по вкусу  довести до кипения и остудить  компот готов  подавать охлаждённым  
129;для приготовления киселя взять ягоды  изюм  крахмал и сахар  ягоды промыть и опустить в холодную воду    л   довести до кипения и сварить хороший компот  для более ярко выраженного вкуса ягод можно помять  тогда их лучше будет отцедить до ввода изюма   варить на медленном огне около  минут  в конце добавить сахар  регулируйте сладость на свой вкус  крахмал высыпать в глубокую миску  в холодной кипячёной воде развести крахмал  в наваристый ягодный компот ввести изюм  ещё поварить минут  до мягкости изюма  кастрюлю снять с огня  чуть остудить и тонкой струйкой  при постоянном помешивании  ввести разведённый крахмал  перемешать кисель до однородности и прогреть до кипения  кисель должен быть однородной густой консистенции  разлить готовый кисель в глубокие миски  охладить и подавать на десерт  очень вкусно  
130;для приготовления морковного сока в домашних условиях нам понадобится морковь  сливки    лимонный сок   г моркови вымыть  очистить от ботвы и кожицы  с помощью соковыжималки выжать морковный сок  процедить сок через мелкое сито  по желанию добавить сливки   ст  л   или лимонный сок   ч  л    свежевыжатый морковный сок готов  
131;ингредиенты  сливки    кофе эспрессо  сахар ванильный  сливки обязательно должны быть горячими  подогрейте их заранее в микроволновке  минуту  добавьте в горячие сливки сахар и размешайте до растворения  в чашу для взбивания влейте сладкие сливки и горячий кофе  взбивайте несколько минут  кофе с идеальной пенкой готов  подавайте немедленно  
132;для приготовления коктейля нам понадобится холодное молоко  мёд  апельсины  мускатный орех  у меня орех  но можно взять уже молотый   взбиваем молоко с мёдом с помощью блендера   минуты до полного растворения мёда  выдавливаем сок из апельсинов  вливаем сок в молоко и ещё раз взбиваем  чтобы появилась пенка  натираем на самой мелкой терке мускатный орех  нам нужна всего лишь щепотка  разливаем коктейль в стаканы  посыпаем сверху мускатным орехом  приятного аппетита  
133;чтобы приготовить кофейный напиток  нужно взять кофе  воду  корицу  мускатный орех  какао порошок  сгущенное молоко  орехи миндаля  какао    ч  л   смешать со сгущёнкой    ч  л   в однородную  гладкую массу  кофе   ч  л   смешать с корицей   ч  л   и мускатным орехом   щепотка    джезву обдать кипятком  всыпать в неё кофейную смесь  добавить горячей воды   мл   сварить кофе  не доводить до кипения  наполнить половину чашки горячим кофе  добавить смесь какао с молоком  перемешать  добавить кофе  посыпать готовый кофе со сгущёнкой молотым орешком миндаля   орешек на чашку   подать напиток на десерт  
134;для  стакана  хайболл  мл  нам потребуется  газированной воды  половинка лайма и огурца  пару веточек мяты  лёд и тростниковый сахар демерара  нарезаем кружочками половину огурца   откладываем для украшения  режем лайм на тонкие ломтики   также откладываем  так как мохито относится к коктейлям типа билд  займёмся его построением прямо в бокале   на дно хайболла кладём лайм  затем огурец  сверху добавляем листья мяты с одной веточки  засыпаем сахаром   столовые ложки  мадлером тщательно разминаем содержимое стакана  чтобы огурец  мята и лайм хорошенько дали сок  засыпаем кубики льда в хайболл  вливаем газированную воду  оставляем пару сантиметров свободными   сверху выкладываем  дольку лайма и кружок огурца  отрываем верхушку второй веточки мяты и оставляем её для декора  оставшиеся листья добавляем в стакан   декорируем хайболл оставшимися кусочками огурца и лайма  добавляем верхушку ветки мяты  освежающий огуречный мохито готов  
135;оба коктейля будут смешаны одинаковыми пропорциями продуктов  но один будет с ромом  а другой с мартини бьянко  и один будет с карамельным сиропом  а другой  с гренадином  то есть гранатовым сиропом  но не наршарабом  а тем  который применяют бармены   ну  и в обоих коктейлях будет гранатовый сок    а не напиток  коктейли будут декорированы семенами граната  но на вкус это никакого влияния не оказывает  стаканы засыпаем льдом полностью  можно даже чуток с горкой  всё равно потом осядет  наливаем по  мл рома  слева  и мартини бьянко  справа   наливаем гранатовый сок  кстати  смотрите  какая уже разница в цвете   наливаем сиропы  карамельный слева  гренадин справа  они соскальзывают на дно  поэтому у  стаканов придонный слой разного цвета  посыпаем сироп гранатовыми зёрнышками  чтобы намекнуть  из чего у нас коктейль сделан  
136;для приготовления малинового айс крима нам понадобится  мороженое пломбир  малиновый сироп  любые фрукты и ягоды ассорти  у меня абрикос  черешня и клубника   очень холодная газированная вода  нарезаем небольшими кусочками абрикос  черешню и клубнику  в охлаждённые стаканы кладём на дно мороженое  поливаем мороженое малиновым сиропом  сиропы и желе для десертов я делаю сама и храню в холодильнике  малиновые и красносмородиновые обычно готовлю без термообработки  выкладываем смесь ягод  заливаем холодной газированной водой  подаём с трубочкой и коктейльной ложкой для фруктов  
137;для приготовления классического какао вам понадобятся  молоко  какао порошок  ванильный сахар и корица  если вы взяли магазинное молоко  то разбавлять его водой не стоит  смешайте в пиале какао порошок  сахар  ванилин и корицу  добавьте в пиалу несколько столовых ложек тёплого молока и перемешайте смесь так  чтобы не было комочков  в разогретое молоко маленькой струйкой вылейте смесь  постоянно помешивая  доведите напиток до кипения и варите  минут на медленном огне  постоянно перемешивая  снимите с огня и накройте крышкой  чтобы напиток настоялся  какао надо варить на медленном огне и постоянно следить за процессом  чтобы молоко не сбежало  
138;для безалкогольного коктейля восход солнца нам нужны или апельсины  или апельсиновый сок  минеральная вода любой степени загазированности и красный сироп  может  остатки варенья    у меня  клубничный  в текиле санрайз есть ещё лёд  но в детском коктейле  думаю  лучше обойдёмся без него  выжимаем апельсиновый сок  из около  г апельсинов выжалось  мл  наливаем в стаканы  в которых будет производиться сервировка  сок или на    или на    в зависимости от этого можно получить коктейль с разной прозрачностью  более прозрачный красивее  менее прозрачный  ясное дело  вкуснее  вливаем газировку  она образует на апельсиновом соке шапочку из пены  а на стенках стакана  красивые пузырьки  вливаем клубничный сироп  он оседает на дно и получается красивый цветовой переход снизу вверх от красного к оранжевому  если хотите  наоборот  чтобы красный задымился внутри стакана  плесните ещё газировки  она всколыхнёт слои  сервировать быстро  иначе пена оседает  а пузырики со стенок улетучиваются  на финальной фотографии спереди стоит стакан с приблизительным соотношением сока и газировки    а сзади    плюс с доливанием воды после введения сиропа  
139;для приготовления морса нам понадобятся лимоны  сахар и вода  снимаем с лимонов цедру как можно тоньше  далее снимаем с лимонов белую мякоть  с лимонов выжимаем сок  получаем  мл сока  сок процеживаем  выжимки и мелко порезанную цедру заливаем водой  добавляем сахар и доводим до кипения  варим с момента закипания   минут  при слабом кипении  и оставляем под крышкой настояться до полного остывания  далее отвар процеживаем  вливаем в напиток сок  наш лимонный морс готов  приятного аппетита  
140;для приготовления чая нам необходимо взять лимон  апельсин  воду  мяту свежую  сахар  корицу в палочках  бадьян  свежие ягоды  у меня малина  подойдёт и сушёная  и ежевика  но можно другие  на ваш выбор  например  вишня   берём несколько веточек мяты  с веточек обрываем листики  листики можно порезать или помять  закладываем листики в чайник  также  в чайник кладём  палочку корицы  заливаем кипятком  у меня чайник объёмом  мл  закрываем чайник крышкой и даём мяте и корице настояться в кипятке  апельсин и лимон нарезать тонкими дольками  берём ещё мяту  обрываем листики и закладываем в чашку  добавляем палочку корицы  добавляем несколько звёздочек бадьяна  на  чашку я кладу   звёздочки  в каждую чашку помещаем дольку апельсина и лимона  заливаем настоявшимся кипятком до половины чашки  добавляем чистого кипятка  так чай получается менее концентрированный  в каждую чашку бросаем ягодки малины и ежевики  даём чаю слегка остыть  достаточно от  до  минут  подаём к с столу  теперь  как это пить  чай подаётся вот прям в чашках  нужно ложечкой размять ягоды и слегка потолочь апельсин и лимон  по вкусу добавить сахар или пить чай с конфеткой  вот наш чай и готов  
141;для приготовления кокосового молока нам потребуется кокосовая стружка и вода питьевая   г кокосовой стружки или стружку из мякоти  кокоса  натереть на мелкой тёрке  залить  мл горячей воды  закрыть крышкой и оставить минимум на  минут или до остывания  взбить погружным блендером в течение   минут  полученное кокосовое молоко процедить от кокосового жмыха через ткань  жмых можно высушить и смолоть в муку  а можно использовать в таком виде  кокосовое молоко готово  приятного аппетита и будьте здоровы  
142;для работы нам понадобится черешня  молоко  мороженое  сахар  чёрный шоколад  черешню промыть  удалить косточки  в стакан блендера поместить охлаждённое молоко  сахар и черешню  взбить на протяжении  минуты  добавить натёртый шоколад  взбить на протяжении  минуты  коктейль с черешней и шоколадом готов  подавайте коктейль сразу же после приготовления  
143;чтобы приготовить чай  нужно взять  воду  зелёный чай  киви  мёд или сахар  киви очистить  нарезать кубиком  вскипятить воду  подготовить чайник для заваривания чая  налить в него кипяток  вылить  протереть насухо  насыпать в тёплый сухой чайник нужное количество сухого чая  горячую воду остудить до температуры от с до   залить ею подготовленный чай   закрыть чайник крышкой  оставить настояться в течение  минут  в горячий чай добавить подготовленные киви  дать настояться напитку ещё  минуты  настоявшийся чай с киви налить в чашки  добавить в чай мёд или сахар по вкусу  напиток готов  его можно подать горячим или холодным со льдом в жаркий день  
144;подготовьте основные ингредиенты  ягоды облепихи  сахар и воду  при желании можно увеличить количество сахара или наоборот уменьшить  положите ягоды в холодную воду  доведите до кипения и варите  минуту на сильном огне  затем снимите кастрюлю с огня  плотно укутайте несколькими слоями тёплых полотенец и оставьте при комнатной температуре до полного остывания  остывший компот процедите  ягоды отдали все свои полезные вещества  теперь их можно удалить  добавьте сахар  я всегда добавляю сахар уже в остывший компот  не могу сказать в чем причина  не знаю  но когда ягоды варятся с сахаром компот становится по вкусу  как консервированный из банки  а если сахар положить потом  вкус становится менее резким и более нежным  остывший облепиховый компот  приготовленный таким способом по вкусу  действительно  напоминает апельсиновый нектар  охладите компот  разлейте по бокалам и подавайте  приятного аппетита  
145;ингредиенты  вода  водка  апельсиновые корки  с апельсина срежем корку тонкими полосками  стараясь не затронуть белую часть  лучше всего это делать овощечисткой или тонким  маленьким ножом  сложим корки в небольшую банку и нальем  мл воды  далее добавим  мл хорошей  качественной водки  поставим банку в тёмное  сухое место на неделю для настаивания  затем храним в холодильнике  
146;для работы нам понадобится красная смородина  чёрная смородина  вода  сахар  смородину перебрать  удалив испорченные и повреждённые ягоды  листья и плодоножки  промыть под проточной водой  воду вместе с сахаром довести до кипения  прокипятить  минуту  в кипяток опустить подготовленные ягоды  по вашему желанию добавить несколько веточек свежей мяты  закрыть крышкой  довести до кипения и сразу же снять с огня  оставить под крышкой до полного остывания  для настаивания компота  компот готов к подаче  
147;для работы нам понадобится свежий огурец  укроп  кефир  молодой чеснок  соль  огурец помыть  нарезать кусочками  если кожица твёрдая  предварительно удалить её  укроп промыть  стряхнуть влагу  мелко нарезать  чеснок натереть на тёрке  в чашу кухонного комбайна  насадка металлический нож  выложить огурец  укроп  чеснок  добавить соль и кефир  взбить до однородного состояния  на это уйдёт   минуты  огуречный коктейль готов  подавайте такой коктейль сразу же после приготовления  
148;для приготовления смузи нам понадобится греча  банан  молоко  инжир сушёный  мёд  корица  нарежем банан  нарежем инжир небольшими кусочками  в блендер положим гречу  банан  инжир   ложку мёда    зальём молоком  будем взбивать  как коктейль  до нужной степени измельчённости  разлить полученный смузи в подходящие бокалы  по желанию посыпать корицей  подавать  
149;для приготовления нам понадобятся следующие продукты  водка  лимон  мёд  свежая мята  чтобы лучше смешать мёд с водкой  удобно воспользоваться кувшином  в кувшин наливаем нужное количество водки  наливаем жидкий мёд  выдавливаем сок из одного лимона  хорошо перемешиваем деревянной ложкой  переливаем в бутылку с крышкой  опускаем в бутылку свежую мяту  закупориваем и кладём в тёмное место на  дней  каждый день взбалтываем содержимое  чтобы ещё лучше соединить все ингредиенты  через данное время медовуха готова  пойдёмте лечиться  
150;для приготовления масала чая понадобится чёрный чай  молоко  палочка корицы около  см  кардамон  перец горошком  имбирь  специи  кардамон  корицу  перец и имбирь  измельчить в ступке в максимально однородную массу  смесь специй и чай заливаем водой  доводим до кипения и варим  минуту иногда помешивая   затем добавляем молоко доводим опять до кипения  всыпаем сахар по вкусу и кипятим ещё  минуту  подавать масала чай горячим  разливая по чашкам через ситечко  
151;для приготовления чая возьмём  небольших душистых яблока  корицу в палочках  заваренный чёрный чай и сахар  яблоки хорошо помыть  затем удалить семена и порезать  выложить порезанные яблоки  так чтобы они заполнили половину чашки  и добавить палочку корицы  залить заваренным чаем и дать настояться   минут  добавить сахар или мёд по вкусу  
152;для работы нам понадобится свежая черника  вода  сахар  чернику перебрать  удалив повреждённые ягоды  листья  промыть под проточной водой  воду довести до кипения вместе с сахаром  проварить   минуты  в кипящую воду добавить подготовленные ягоды  вернуть кастрюлю на огонь  накрыв крышкой  довести до кипения и сразу снять с огня  оставить под крышкой для настаивания до полного остывания  компот из черники готов  
153;для коктейля понадобится ананас  шпинат  банан и вода  удалите плодоножку ананаса  для этого открутите её  крепко удерживая фрукт  отрежьте по   см сверху и снизу  срежьте колючую кожицу ананаса и нарежьте фрукт ломтиками толщиной чуть больше  см  для коктейля нам достаточно половины ананаса  сердцевину не использовать  если у вас блендер недостаточно мощный    листья шпината помыть и удалить подпорченные листики  если есть такие  банан нарезать кольцами  я использую банан замороженный  чтобы коктейль был холодным  у нас получается  чашка ананасов   чашка бананов и  чашка шпината   затем поместить всё в блендер и смешать  добавляя постепенно воду  в какой последовательности и какой нож использовать  это на ваше усмотрение  я делаю как с погружным блендером так и с  образным ножом  воду добавлять также на ваш вкус  кто то любит более густые коктейли  кто то более жидкие  перелить в стакан и наслаждаться  желательно подавать сразу  но если останется  хранить в холодильнике в закрытой ёмкости до  дней  
154;для приготовления напитка дыню выбирайте спелую и сочную  так же возьмём небольшой пучок мяты  лайм и лимон  дыню хорошо помыть  очистить от кожуры и порезать  в блендер выложить порезанную дыню  добавить   горсти листиков мяты и выдавить сок половины лимона и лайма  хорошо всё измельчить  разлить по стаканам и сразу подавать  
155;подготовьте  ягоды  кипячёную воду  можно и холодную и горячую   сахар  залейте ягоды кипячёной водой и доведите до слабого кипения  затем немного проварите пару минут и снимите с огня  накройте горячую кастрюлю с компотом тёплым полотенцем и оставьте медленно остывать и настаиваться  затем процедите компот от ягод  добавьте по вкусу сахар и размешайте  когда сахар добавляется в уже готовый компот  вкус напитка получается более нежный и свежий  сахара можно положить больше  чем  грамм  по вкусу  компот готов  приятного аппетита  
156;чтобы приготовить наливку  нужно взять спелые ягоды тёрна и сахар  тёрн перебрать  промыть  слегка придавить скалкой  накрыв плёнкой  чтобы ягодка треснула  выложить в чистую ёмкость слой ягод   см  вторым слоем засыпать сахар  чтобы он прикрыл слой ягод  чередовать слои  пока не заполнится   ёмкости  ёмкость плотно закрыть крышкой или надеть резиновую перчатку  поставить в тёплое место  желательно на солнце  или к батарее   я использовала электрогрелку  днём согревало солнце   оставить на  дней  снять перчатку   почувствуете запах брожения   сквозь марлю процедить сок  удалить косточки из ягод  мякоть ягод залить соком  закрыть ёмкость марлей  сложенной в  слоёв  оставить бродить на солнце в тепле ещё на  дней  наливка будет бродить  пена будет подниматься  ёмкость иногда можно встряхивать  по истечение  дней  наливку процедить сквозь марлю в   слоя  раза  каждый раз менять марлю на новую  оставшуюся мякоть ягод залить водкой  поставить в сухое тёмное место на   месяца до готовности настойки  наливкой наполнить бокал  подавать на десерт к сладкому столу  
157;для приготовления чая по татарски  нам понадобится крупнолистовой чёрный чай  соль  сливочное масло  молоко и вода  воду закипятить  всыпать чай  вновь довести до кипения  влить молоко и варить в течение  минут  добавить по вкусу соль  снять с огня  разлить по пиалам  в каждую положить по небольшому кусочку сливочного масла и сразу же подать чай к столу  
158;для приготовления нам понадобится кефир  огурцы  стебли сельдерея  огурцы свежие   шт   почистить и нарезать на небольшие кусочки  стебли сельдерея   шт   промыть  обсушить и нарезать на небольшие кусочки  в стакан блендера влить кефир   мл  и переложить подготовленные ингредиенты  пробить все ингредиенты до однородной консистенции  если вам покажется  что консистенция получилась очень густой  можно добавить немного воды  чтобы избавиться от жмыха  напиток лучше всего пропустить через сито  смузи из сельдерея  огурца и кефира в блендере готов к подаче  приятного вам аппетита  
159;ингредиенты  сахарный сироп  клубника свежая    штук   листья мяты  лайм  ром белый  газированная вода   г клубники и лайм    часть  порезать на несколько частей  сложить в бокалы для мохито  в каждый бокал добавить по   листиков мяты  немного помять содержимое при помощи пестика  налить сахарный сироп   мл   положить лёд  кубиков   на все стаканы   нескольких кубиков будет достаточно  лёд можно измельчить в процессоре  долить газированной или минеральной воды   мл   воду можно заменить спрайтом  украсить листиками мяты   пучок  и кусочками клубники   г   
160;для кедровой настойки понадобятся кедровые орешки и водка хорошего качества  кедровые орешки желательно взять не старые  а этого года  свежие орешки очень ароматные  скорлупа не жёсткая и твёрдая  а хрупкая или даже мягкая  если орехи свежайшие  орешки хорошо промыть в нескольких водах  как бы перетирая их ладошками  смоем пыль и уберём остатки шишек  откинем их на ситечко и немного обсушим от воды  в чистую банку насыпаем промытые и просушенные орешки  и заливаем водкой хорошего качества  закрываем крышкой и ставим в тёмное место не меньше чем на  недели  за это время несколько раз встряхнуть банку  когда настойка выстоится  у меня стояла месяц  процедим её через ситечко  сольём в бутылку и употребляем по настроению и надобности    кедровая настойка готова  
161;в состав нашего вкусного смузи входит банан  яблоко  киви  кефир  овсянка  корица  мёд  яблоки очистим от шкурки  вырежем сердцевину и нарежем небольшими кусочками  положим их к бананам  киви очистим от шкурки и также нарежем   добавим в чашу блендера овсяные хлопья  кефир  мёд и корицу   взбиваем на высокой скорости блендера до однородного состояния  смузи готов  приятного аппетита  
162;подготовим необходимые ингредиенты  арбуз  дыню  мяту для украшения и сахарную пудру  ложкой нуазеткой вырежем из дыни и арбуза по  шарика  для украшения  мякоть половины маленького арбуза и половины небольшой дыни нарежем кубиками  вынимая косточки  поместим в чашу блендера половину сахарной пудры и мякоть дыни  взбить  отдельно так же взбить мякоть арбуза и оставшуюся сахарную пудру  в бокалы разлить сначала дынное пюре  а сверху него выложить столовой ложкой арбузное пюре  украсить смузи мятой  арбузными и дынными шариками и сразу же подать к столу  
163;соотношение абсента к воде для французского варианта этого коктейля составляет от   до    вода должна быть либо охлаждена заранее  либо она охлаждается льдом  кроме льда и воды нам потребуется ещё кусочек сахара  охлаждаем воду льдом до полного растворения последнего  выливаем в бокал   мл абсента  укладываем поверх бокала специальную ложечку с дырочками  поверх которой укладываем кусочек сахара  замена ложечке с дырочками   положенные рядом спицы  или обычная чайная ложка с обычным сахаром  которую вам придётся держать во время следующей операции  переливаем ледяную воду в сосуд  из которого будет возможно точно прицелиться на кусочек сахара  и тонкой струйкой вливаем воду в абсент  растворяя по ходу дела кусочек сахара  вот тут и вершится то  что французы считали волшебством зелёной феи  из  прозрачных жидкостей получается  мутная  в общем  классический французский способ употребления абсента превращает его в умеренно страшный коктейль на хэллоуин мутно зелёного вида с по настоящему мерзким аптечно больничным запахом  
164;для работы нам понадобятся свежие молодые листья одуванчика  лимонная мелисса  вода  сильногазированная вода  сахар  лимонный сок  соединить воду и сахар  довести до кипения  молодые листья одуванчика и мелиссы промыть под проточной водой  мелко нарезать  выложить в чашу кухонного комбайна  насадка  металлический нож   добавить кипящий сироп  измельчить до очень мелких частичек  в конце добавить лимонный сок  охладить  вылить в кувшин  можно выливать с мелкими частичками одуванчика и меллисы или процедить   добавить сильногазированную воду  лимонад готов   
165;подготовим молоко  можно заменить кефиром или йогуртом   банан  финики и овсяные хлопья  в чашу блендера выливаем стакан молока   штучек фиников   банан  можно половинку  и  столовую ложку хлопьев овсяных  блендером измельчаем ингредиенты до получения однородной густоватой массы  после измельчения переливаем в чашку и пьём  коктейль  или смузи   также можно хранить в холодильнике  приятного аппетита  будьте здоровы  
166;чтобы приготовить напиток  нужно взять авокадо  лимон  зелёное яблоко сорта симиренко  пару листьев свежего салата  петрушку  свежий корень имбиря  заварить зелёный чай  вымыть листья салата и петрушку в холодной воде  обсушить  петрушку мелко нарезать  салат нарвать кусками  небольшой кусок корня имбиря нарезать кусочками   яблоко очистить  нарезать кусочками  пюрировать  авокадо очистить  нарезать кубиком  обильно полить соком лимона  авокадо и подготовленную зелень с имбирем пюрировать  смешать с яблочным пюре  влить в полученную массу охлажденный зелёный чай  сок или минеральную воду   выровнять вкус напитка  добавив сок лимона   подать напиток к обеду или на перекус  
