Номер;Рецепт
89;от апельсина и лимона отрезаем по  дольки и немного их мнем руками  эстрагон тоже лучше немного помять  тогда он максимально отдаст напитку свой вкус и аромат  берем необходимые ингредиенты и подготавливаем их  апельсин  лимон и эстрагон моем  воду кипятим и остужаем до   в банку кладем все ингредиенты  кроме куркумы  и заливаем их слегка остывшей водой  накрываем крышкой и оставляем настаиваться минут   затем почти готовый напиток процеживаем  добавляем куркуму  остужаем и разливаем по стаканам  если кому то не нравится привкус куркумы  то ее можно и не добавлять  но тогда напиток не будет таким ярким  лимонад получается очень красивым  с неповторимым ароматом эстрагона  нотками апельсина и легкой лимонной кислинкой  
90; щепотки    чайной ложки  лаванды насыпать в кружку для дальнейшего заваривания  добавить  мл воды  дать настояться  минут  лаванда обладает пряно терпким и слегка горьковатым вкусом  в цветках содержится максимальное количество эфирного масла  что придает сильный аромат и насыщенный вкус  важно не переборщить с количеством и дольше пяти минут не настаивать  чтобы напиток не горчил   щепоток достаточно  процедить лавандовую воду через сито  берем натуральный   какао порошок  без добавок и красителей  продается в порошке  кусками  в шариках  кубиках  таблетках  цвет  от коричневого до темно коричневого  без серого оттенка  вкус шоколадный  с легкой горчинкой   мл кокосового молока  в посуде для варки напитка соединить какао порошок  кокосовое молоко  подогреть на слабом огне до растворения какао порошка  добавить лавандовую воду и чайную ложку мусковадо для легкой сладости  варить на медленном огне  минуты  шоколадно лавандовый напиток готов  порция отличного настроения  отмечу  что при взбивании привычной пышной пенки не получить  а маленькие воздушные пузырьки  вполне  
91;шиповник у меня благополучно перезимовал на закрытой лоджии  можно брать пополам с сушеными яблоками  насыпаем в термокружку  заливаем кипятком  примерно  мл  смородину берем замороженную  насыпать прямо в кувшин с широким горлом  залить настоявшимся отваром шиповника  термос я снова залила кипятком и закрыла  я бросила в кувшин еще примерно  ч  л  имбиря с лимоном перемолотые  по желанию корицу и ваниль  рецепт есть тут                давим толкушкой ягоды  вместо сахара добавила сироп от клубничного варенья  можно мед  заливаем вторым отваром  остальной водой разбавляем по вкусу  охладить или добавить лед  разлить по кружкам  когда постоит  станет еще вкуснее  угощаемся  
92;авокадо разделить пополам  банан нарезать на кружочки  авокадо тоже поделить на кусочки и сбрызнуть лимонным соком  добавить сироп или варенье  у меня персиковое  влить фильтрованную воду  взбить блендером  по желанию добавить куркуму  разлить по бокалам  получается  таких бокала  посыпала семенами чиа  и специями для десертов  ваниль  гвоздика  кардамон  корица  в остатки я всыпала несладкие хлопья  идея отличная  кстати  по желанию охлаждаем и подаем  очень ароматно и вкусно  подходит на десерт  с хлопьями вообще сытно  рекомендую на завтрак  
93;ягоды промойте  я добавляю в воду немного уксуса  затем ополаскиваю   удалите плодоножки  засыпьте сахаром  пюрируйте любым удобным способом  я использовала погружной блендер  добавьте свежевыжатый лимонный сок  я использую   лимона   кружочки оставшейся половины лимона  а затем влейте  л кипятка  перемешайте  оставьте эту смесь на столе до остывания  затем уберите в холодильник  хранить эту заготовку можно несколько дней в холодильнике  перед подачей добавьте к заготовке из холодильника   л холодной воды  попробуйте лимонад на вкус и подкорректируйте сладость  добавив немного сахара или воды  подавайте со льдом и листиками мяты  
94;подготовьте все необходимые ингредиенты  сок у меня замороженный  он у меня всегда есть в холодильнике  но самое главное здесь  вода  она должна быть чистой и без всяких примесей  поэтому я бы рекомендовала пред началом очистить ее при помощи фильтров тм аквафор  они прекрасно справятся с этой задачей  воду вскипятить и влить в чашу мультиварки  всыпьте семена льна  закройте крышку  установите программу мультиповар  время   минут  температура    вынуть чашу из мультиварки и остудить до теплого состояния  добавить сок и мед  размешать до растворения меда  полностью остудить  если вам не очень нравится цвет  то добавьте немного куркумы или шафрана во время добавления меда с соком  процедите  разлить и подавать  его можно пить по   стакана  раза в день  
95;засыпаем в тарелку клюкву  сахар и четверть лимона  с помощью блендера перетрем все ингредиенты  столовую ложку меда с горкой растопить и добавить к клюкве  перемешать и поставить в холодильник на ночь  берем чистую воду  очищенную с помощью фильтра тм аквафор  и добавляем туда нашу клюкву  перемешиваем  готовый напиток процеживаем через марлю в графин  теперь можно наслаждаться  будьте счастливы и здоровы  
96;лимон вымыть  обсушить  аккуратно снять цедру  не затрагивая белую часть  корень имбиря вымыть  очистить и нарезать тонкими пластинами  в ковш положить цедру лимона и пластины имбиря  всыпать сахар  вскипятить  л отфильтрованной воды  залить продукты в ковше   л кипятка  накрыть крышкой  варить  минут  выключить огонь и дать настояться  минут  остальную воду остудить до комнатной температуры  процедить отвар цедры и имбиря через мелкое сито  дать остыть  из лимона выжать сок  мяту вымыть  обсушить  крупно нарезать  у меня смесь разных сортов мяты  мелисса и котовник  сложить мяту в чашку и потолочь деревянным пестиком  в большой банке или кувшине соединить воду  отвар имбиря и цедры с сахаром  лимонный сок и мяту  перемешать и поставить в холодильник для охлаждения и настаивания на несколько часов  готовый лимонад процедить через мелкое сито  с марлей   разлить по стаканам  добавить в каждый стакан дольки лимона  кубики льда  листики свежей мяты  пыталась фотографировать на улице  к сожалению  фото получились не очень хорошие из за освещения  это вечернее фото  главное фото сделано утром  мятно имбирный лимонад получился вкусным и полезным  угощайтесь  приятного аппетита  
97;нам понадобится хлеб  он нам нужен простой  ржаной  без добавок  семечек  изюма или отрубей   полбуханки ржаного хлеба нарежьте кубиками  нагреть духовку до   высушить хлеб до состояния сухарей  чем темнее корочка  тем ярче вкус  основа любых напитков это вода  и для хороших напитков она должна быть хорошей  ключевая вода синоним жизни в сказках  а в городе где ее взять  в этом нам поможет фильтр тм аквафор  вскипятите три литра фильтрованной воды  высыпать сухари в банку  заварите их кипятком  накройте чистой тканью и оправьте в темное место на  часа  на следующий день процедите напиток через марлю  хорошо отожмите  в теплой воде растворите живые дрожжи  вылейте их в сусло  туда же высыпьте  г сахара  как следует размешайте  вылейте обратно в банку  накрыть крышкой  оставив щель для выхода углекислого газа  снова поставьте в темное место для начала брожения  когда пойдут активные пузыри  добавьте еще  г сахара  о готовности напитка свидетельствует исчезновение дрожжевого запаха и уверенные пузырьки  вкус получается в меру кислый  свежий  он идеален для окрошки и очень бодрит  если пить просто так  на здоровье  
98;
99;отправить в блендер один спелый банан  налить  мл кокосового молока  также отлично подойдет миндальное  туда же отправить  чайные ложки какао  отмечу  что какао    без добавок и примесей    чайной ложки мусковадо для тонкого карамельного аромата  добавить  мл горячей воды  для сыроедов  воду комнатной температуры  тщательно взбить до однородного состояния  ароматный насыщенный сытный и полезный шоколадно банановый напиток готов  для более густой консистенции рекомендую уменьшить количество воды до  мл  желаю экспериментировать  получать удовольствие от процесса приготовления и наслаждаться вкусным результатом  
100;курагу замочить в воде на   часа  накрыв блюдцем  размягченную курагу нарезать на четвертинки  цикорий можно взять концентрированный или на сгущенке  но у меня был дома растворимый  берем по вкусу  заливаем горячей водой  заливаем половиной цикория курагу  и я еще добавила чуть куркумы  в обычный свой кофе тоже щепотку добавляю  поэтому мне привычно  взбиваем блендером  сахар или мед по вкусу  теперь остальной цикорий вливаем  немного сливок по желанию  переливаем в бокал  украшаем сливками  подаем в теплом виде  сытный напиток перекус получается  пробуем  
101;для чая можно взять чайные пакетики  но лучше использовать хороший качественный чай  сладкое яблоко хорошо промыть  обсушить  чайник обдать кипятком  отправляем в чайник палочку корицы  гвоздику и больше половины яблока  нарезанного тонкими дольками  отфильтрованную воду довести до кипения и залить ей подготовленные продукты  закрыть крышкой и дать настояться  минут  оставшееся яблоко нарезать очень тонкими дольками  кладем в кружку  стакан  чашку  дольки яблока и наливаем чай  можно добавить в кружку палочку корицы  по желанию можно добавить сахар  но чай получается ароматным и вкусным  что в дополнительной сладости не нуждается  наслаждаемся  приятного аппетита  
102;по традиции обязательно изначально все чаи поместить в отдельные емкости и передавать по кругу  как бы здороваясь с каждым из них  вдыхая аромат чая  после в глиняную или фарфоровую посуду  это обязательно   особенно если говорить о чайнике  заливаем кипяток и прогреваем  сливаем воду  чаи вкусны в разных вариациях  травы  что растут на грядке или на балконе  засушив  спокойно можно класть в чай  ну и  конечно  то  что вырастить у нас нельзя это уже другие сорта чая  поэтому за ними придется идти в магазин  саусеп зеленый крупнолистовой  черный    натуральный зеленый чай крупнолистовой и ферментированный зеленый иван чай  после того как мы заварили чай  в нем вырабатываются эфирные масла  он ободряет  как кофе  если немного настоится  но ни в коем случае не оставляйте заварку надолго по китайской мудрости она превращается из бальзама в яд  лучше меньше заварить  но делать это чаще  приятного чаепития  
103;подготовить необходимые продукты  на данном этапе понадобится  мл фильтрованной воды и корень имбиря  примерно  см   корень имбиря очистить и натереть на мелкой терке  из лимонов выжать сок   мл воды довести до кипения  влить в подготовленную стеклянную емкость  растворить в ней сахар и добавить натертый имбирь  оставить смесь до полного остывания  когда настой имбиря остынет примерно до   всыпать сухие быстродействующие дрожжи и размешать до полного их растворения  добавить сок лимона  в настой имбиря долить фильтрованную воду  чтобы общий объем составил  л   перелить жидкость в пластиковую бутылку  оставить ее в теплом темном месте на  суток  если в комнате не совсем тепло  процесс может затянуться  о готовности напитка подскажет уплотнение бутылки и ее раздувание  перенести бутылки в холодильник для полного вызревания   часов   осталось аккуратно открыть пробку  осторожно  напиток под давлением может пойти через край бутылки   процедить имбирный эль через несколько слоев марли  разлить в емкости для хранения и герметично закрыть крышками  хранить готовый имбирный эль в холодильнике  
104;
105;вот ингредиенты для приготовления этого чая  стебли у мяты я выбросила и оставила листочки  черный чай насыпаем в ситечко для заваривания  клубнику режем кружочками  в кружку кладем мяту  нарезанную клубнику и ситечко с чаем  ингредиентывода млкипятим воду и затем наливаем в кружку  ждем  минуты  пока чай заварится  приятного аппетита  
106;берем овсяные хлопья грубого помола  в данный момент моя семья только на них перешла  залить чистой фильтрованной водой из расчета    то есть  чашка хлопьев    чашки теплой воды  накрыть блюдцем и оставить на кухне на пару часов набухать  через  часа смесь выглядит так  протереть через сито в  захода  в процессе я добавила еще   чашки кипяченой воды  жмых убрать в холодильник и испечь на нем хлеб или оладьи  вот такое молоко получаем  оно быстро оседает  на таком молоке можно испечь и блины  добавить по вкусу какао и корицу  и любые ягоды  я брала замороженную чернику  добавляем ягоды по вкусу  мед или сахар все таки требуются  взбить блендером  разлить по стаканам  получается  небольших стаканчика  верх украсить цедрой апельсина  напиток во время съемки осел  поэтому перед употреблением нужно размешать  в жару пьем охлажденным  так как черника замороженная  мой напиток был сразу прохладным  и я с удовольствием попробовала  
107;мяту промойте и порвите или нарежьте на кусочки  затем измельчите мяту с небольшим количеством воды с помощью блендера  процедите полученное пюре через сито  чтобы отфильтровать кусочки зелени  отдельно выжмите сок из лимона и апельсина  смешайте фруктовый сок с сахаром и небольшим количеством воды  соедините процеженную мятную массу со сладким лимонно апельсиновым соком  перемешайте  долейте минеральной воды  газированная или не газированная  по желанию  и еще раз перемешайте  готовый напиток разлейте по стаканам со льдом и украсьте кружочками лимона  если хотите получить освежающий летний напиток с выраженным вкусом  то не добавляйте сахарный песок  
108;в турку налить отфильтрованной холодной воды  положить кофе  размешать  шоколад натереть на мелкой терке  поставить турку с кофе на медленный огонь и сварить  одновременно поставить молоко на медленный огонь  нагреть  в молоко всыпать тертый шоколад и дождаться его полного растворения  в чашку вылить сваренный кофе  долить в чашку молоко с шоколадом  сразу же подать напиток к столу  по вкусу можно добавить сахар  угощайтесь  приятного аппетита  
109;в кастрюлю насыпать сахар  у меня коричневый   поставить на огонь  налить чистую фильтрованную воду  нагревая  растворить сахар  выключить огонь  из лимона выжать сок  тут по желанию  можно  ложки  а можно сок всего лимона  груши очистить  нарезать на кусочки  полить лимонным соком сразу  взбить блендером  залить пюре подготовленным сиропом  охладить и разлить по стаканам  украсить кружком лимона по желанию  можно бросить лед в каждый стакан  берем на пикник или охлаждаемся напитком дома  советую добавить лимонного сока больше  он нейтрализует сладость сиропа и груш  
110;апельсины вымыть  обсушить  острым ножом срезать с них цедру  из апельсинов выжать сок  с мякотью   поставить в холодильник для охлаждения  кусочек имбиря длиной примерно  см очистить от кожуры и натереть на мелкой терке  в небольшую кастрюлю или ковш положить цедру апельсинов  натертый имбирь  сахар рафинад  у меня коричневый   отфильтрованную воду вскипятить  залить продукты в ковше   л кипятка  накрыть крышкой и варить на медленном огне  минут  остальную воду остудить до комнатной температуры и поставить в холодильник для охлаждения на несколько часов  по окончании варки дать отвару остыть  затем процедить через мелкое сито  в большой емкости соединить все составляющие напитка  охлажденную воду  охлажденный апельсиновый сок и отвар цедры и имбиря  вкусный и полезный напиток готов  разлить напиток по стаканам и наслаждаться чудесным вкусом и ароматом  угощайтесь  приятного аппетита  
111;
112;подготавливаем продукты  для приготовления напитка потребуется кусочек имбиря размером  см  очищаем и нарезаем имбирь  в кастрюлю наливаем чистую воду  доводим до кипения и кладем имбирь  у фиников удаляем косточки  очищенные финики кладем в кастрюлю с водой и имбирем  доводим до кипения и провариваем  минуты  добавляем мед  доводим до кипения и убираем кастрюлю с огня  остужаем и процеживаем напиток  из лимона выжимаем сок и добавляем в кастрюлю к остывшему напитку  охлаждаем и процеживаем напиток  подаем напиток  добавив лед и пару долек лимона  приятного утоления жажды  
113;это продукты для нашего лимонада  его можно делать только из лайма  как в оригинальном рецепте  но можно из смеси лайма и лимона  как у меня в этот раз  или просто из лимона  но тогда нужно взять тонкокожий лимон среднего размера  иначе лимонад получится с горчинкой  цитрусовые хорошенько помыть щеткой под горячей водой  чтобы удалить вещества  которые сохраняют фрукты  но совсем не полезны нашему организму  нарежьте их на кусочки и удалите семечкииначе они придадут горечь  а это нам совсем не нужно  в чашу блендера налейте воду  желательно очищенную через фильтры аквафор и сложите все ингредиенты  смешайте все в блендере до однородной массы  процедить  разлить по бокалам  и можно подавать  ну а кто не боится заболеть  могут добавить кусочки льда  приятного отдыха  
114;лимоны помыть и нарезать прямо с кожицей  поместить мелкие кусочки в кувшин  добавить куркуму и мед  куркуму добавляем понемногу по своему вкусу  нагреть до теплого состояния и влить чистую питьевую воду  размешать и поставить на сутки или на ночь в холодильник до подачи  можно процедить по желанию  разлить по порциям  лед добавить по желанию  наслаждаемся приятным напитком  храним в холодильнике  
115;ингредиентыягоды замороженные стаканиспользуем для компота замороженные ягоды  вишню  смородину красную и черную  загружаем все ягоды в кастрюлю  ингредиентысахар гв компот добавляем сахар  мешаем  замороженные ягоды отправляем в кипящую воду и снова ждем  пока вода закипит  уменьшаем огонь  убираем пенку с поверхности  наш компот готов  остужаем и разливаем по бокалам  наслаждаемся прекрасным вкусом  скоро лето будет море ягод  будем варить компоты и наслаждаться  главное  чтобы был прекрасный помощник  фильтр для воды аквафор  
116;апельсин помыть  обдать кипятком для устранения горечи и возможного воска  вытереть насухо и положить в морозилку на  часа  после заморозки нарезать и перемолоть в мясорубке  залить  л холодной воды  добавить  ст  л  лимонного сока и  ст  л  сахара  поставить на огонь и довести до кипения  далее процедить через дуршлаг  а затем  через мелкое сито  долить  л воды  перемешать  дать остыть  затем поставить в холодильник  наслаждаемся апельсиновым соком  
117;подготовить необходимые травы и ягоды для приготовления чая  ягоды шиповника вымыть  обсушить  измельчить  вскипятить отфильтрованную воду  всыпать шиповник и варить  минут на слабом огне под крышкой  в чайник для заваривания положить травы  мяту  душицу  ромашку  отваром шиповника залить травы в чайнике  дать настояться  минут  готовый чай процедить и разлить по чашкам  подавать с сахаром или медом  угощайтесь  приятного аппетита  
118;лимон вымыть  обсушить  разрезать пополам  снять цедру с половины лимона  мяту вымыть  обсушить  отфильтрованную воду вскипятить  в заварочный чайник положить цедру лимона  пакетик чая  мяту  залить  мл кипящей воды  накрыть чайник полотенцем и дать постоять  минут  из половинки лимона выжать сок  заваренный чай остудить до комнатной температуры  процедить в банку или кувшин  соединить с лимонным и яблочным соком  можно по вкусу добавить немного меда или сахара  долить в банку остальную остывшую воду  поставить напиток в холодильник для охлаждения  если будете употреблять напиток горячим  то после заваривания соединить чай  горячую воду и подогретые яблочный и лимонный соки  охлажденный яблочный чай с мятой готов  разлить напиток по стаканам  подавать со льдом  угощайтесь  приятного аппетита  
119;лимоны помоем  высушим  выжмем из них сок  у меня  небольших  выжатый сок отфильтруем через марлю  в сок добавим сахар и размешаем до полного растворения  затем добавим помытые и высушенные листочки мяты  даем постоять  минут  в графин нальем чистую воду  добавим туда наш сок  перемешаем  лимонад готов  подавать охлажденным  будьте здоровы и счастливы  
120;подготовим продукты  срезаем ревень  промываем его водой  убираем листья  оставляя черешки  снимаем с черешков верхние волокна  нарезаем очищенные черешки ревеня  для приготовления напитка потребуется  г очищенного ревеня  в кастрюлю наливаем чистую воду и ставим ее на огонь  доводим до кипения и добавляем сахар  затем в кипящую сладкую воду закладываем нарезанный ревень  доводим до кипения  варим ревень в сладкой воде  минуты после закипания  затем добавляем лепестки суданской розы  каркаде   убираем кастрюлю с огня  накрываем кастрюлю крышкой  оставляем на  минут  затем процеживаем  остужаем и охлаждаем напиток  приятного утоления жажды  
121;используйте все ингредиенты охлажденными  чистим бананы  нарезаем  кладем в чашу блендера  добавляем мед  налить часть кефира  добавить мяты  взбить блендером до однородного состояния  разлить по бокалам до половины  манго очистить от кожуры  удалить косточку  нарезать на кусочки  кефир  банан и манго взбить блендером до однородного состояния и разлить по бокалам  нижний слой смузи получается светлым  верхний  желтым  сверху посыпать молотым орехом  сверху посыпать горьким шоколадом  натертым на терке  украсить смузи веточками мяты  очень вкусно и полезно  просто энергетический заряд на весь день  подайте смузи сразу  чтоб ценность витаминов не пропала  приятного аппетита и крепкого здоровья  
122;подготовить продукты  питайя очень легко очищается  достаточно разрезать на две части и поддеть ложкой мякоть  и просто снять кожуру с целого плода не составляет труда  кожура очень легко отделяется  очищаем все фрукты  нарезаем кусочками и складываем в блендер  добавляем кокосовое молоко  воду и взбиваем  можно добавить по желанию любой подсластитель  но я думаю  что это будет лишним разливаем по бокалам  стаканам  кружкам  как удобно вам  можно украсить листиками мяты и подаем  приятного аппетита  хорошего весеннего настроения  
123;всего  ингредиента для приготовления  мурсальский чай  лимон  мед  сахар в мурсальский чай ни в коем случае не добавляется   вода отфильтрованная  в кастрюльку кладем  веточек мурсальского чая  заливаем  литром чистой воды  доводим на плите до кипения  уменьшаем огонь и томим   минут  затем снимаем кастрюлю с плиты  добавляем мед и хорошо перемешиваем чай  настаиваем еще  минут  переливаем чай в кувшин  добавляем лимон  лучше употребить чай горячим  но и в холодном виде он вкусный и прекрасно утоляет жажду  берегите свое здоровье  приятного чаепития  
124;для взвара можно взять любые сухофрукты  яблоки  груши  инжир  чернослив  курагу  изюм  количество их факультативно  соответственно  из большего количества напиток получится более концентрированным  травы используйте по желанию  можно добавить несколько кружочков имбиря  так как взвар напиток  который настаивается  удобнее всего воспользоваться термосом  у меня вот такой помощник на  литра с более чем  летним стажем   если нет термоса  напиток можно приготовить в кастрюле  завернув ее для настаивания в одеяло  сухофрукты промыть и откинуть на дуршлаг  выложить их в термос  добавить чабрец  залить содержимое термоса кипящей водой  накрыть термос крышкой и оставить напиток настаиваться не менее чем на  часа  подсластить взвар медом можно сразу  можно добавить мед и лимонный сок чуть позже  когда вода немного остынет  взвар готов  можно разливать напиток по бокалам  
125;ошпариваем кипятком термос и всыпаем  столовых ложек сушеных ягод шиповника  затем заливаем кипятком  настаиваем  часов  затем можно добавить немного сахара или меда  
126;для приготовления кваса потребуется ржаной хлеб  который нужно нарезать произвольными кусочками  в течение получаса подсушить хлеб в духовке  разогретой до   однократно перевернув  следите  чтобы хлеб не подгорел  три литра воды вскипятить  добавить сахар и перемешать до полного его растворения  остудить  отлить в стакан немного остывшей воды с сахаром и размешать в нем дрожжи до полного растворения  следите  чтобы вода не была горячей  максимальная температура    в воду добавить подсушенные сухари  влить разведенные дрожжи и аккуратно перемешать  чтобы кусочки хлеба не развалились в кашу  попробуйте воду на вкус  она должна быть слегка сладковатой  накрыть емкость чистой сухой марлей и оставить при комнатной температуре на сутки  в чистые сухие бутылки добавить  изюминок  если нет изюма  можно добавить по ложке сахара  квас процедить через несколько слоев марли и разлить по бутылкам  оставить бутылки еще на сутки двое при комнатной температуре  как только образующийся газ в напитке сделает бутылки твердыми и слегка раздутыми  убрать напиток в холодильник  квас готов к употреблению  
127;киви очистить от кожуры  киви нарезать кусочками среднего размера  кусочки киви положить в стакан  добавить мед  измельчить блендером  соединить пюре из киви и кефир  взбить  полезный напиток готов  разлить смузи по стаканам  или баночкам  и подать к столу  у меня баночка оранжевая  поэтому и смузи кажется оранжевым  угощайтесь  приятного аппетита  
128;сельдерей вымыть  обсушить бумажным полотенцем  срезать со стебля загрубевшие места и нарезать небольшими кусочками  морковь вымыть  очистить и нарезать кусочками  выжать сок из моркови и сельдерея  у меня нет соковыжималки  поэтому я измельчила овощи блендером  а потом выжала сок  помидор окунуть в кипяток  вынуть и охладить  сделать сверху небольшие надрезы и удалить шкурку  поместить мякоть помидора в блендер и измельчить  добавить оливковое масло  сок моркови и сельдерея  подсолить  по желанию  и взбить блендером  получилось очень вкусно  совет  в такой смузи можно добавить горсть размоченных овсяных хлопьев  
